source,target,weight
chr7-22250000,chr2-153250000,0.5
chr14-7000000,chr2-153250000,0.08333333333333333
chrX-148500000,chr2-153250000,0.08333333333333333
chrY-83750000,chr2-153250000,0.5
chrY-29000000,chr2-153500000,0.25
chrY-40750000,chr2-153500000,0.125
chr7-20250000,chr2-153750000,0.5
chrY-43750000,chr2-153750000,0.16666666666666666
chr7-7750000,chr2-154000000,0.0625
chrY-39500000,chr2-154000000,0.125
chrY-85000000,chr2-154000000,0.5
chrY-89750000,chr2-154000000,0.25
chrY-90250000,chr2-154000000,0.5
chr2-176500000,chr2-154250000,0.06666666666666667
chrX-123250000,chr2-154250000,0.058823529411764705
chrY-20250000,chr2-154500000,0.08333333333333333
chrY-40750000,chr2-154750000,0.125
chr7-8750000,chr2-155000000,0.05555555555555555
chr14-3750000,chr2-155250000,0.07142857142857142
chrY-34500000,chr2-155250000,0.5
chrY-43000000,chr2-155250000,0.5
chrX-31250000,chr2-155500000,0.05
chrY-42000000,chr2-155500000,0.0625
chrY-44000000,chr2-155500000,0.08333333333333333
chrY-46250000,chr2-155750000,1.0
chr12-22250000,chr2-156000000,0.0625
chrX-149250000,chr2-156000000,0.5
chrY-38500000,chr2-156000000,1.0
chr7-7750000,chr2-156250000,0.125
chrY-22000000,chr2-156250000,1.0
chrY-34250000,chr2-156250000,1.0
chrY-39000000,chr2-156250000,0.1
chrY-42500000,chr2-156250000,0.25
chr7-22500000,chr2-156500000,0.5
chr14-4500000,chr2-156500000,0.05555555555555555
chrY-35000000,chr2-156500000,0.5
chrX-54500000,chr2-156750000,0.5
chrY-44500000,chr2-156750000,0.1
chrY-73250000,chr2-156750000,1.0
chr14-3250000,chr2-157000000,0.3333333333333333
chrX-148500000,chr2-157000000,0.08333333333333333
chrY-74000000,chr2-157000000,1.0
chrY-87750000,chr2-157000000,0.25
chr14-42750000,chr2-157250000,0.1
chrX-123250000,chr2-157250000,0.058823529411764705
chrY-28750000,chr2-157250000,0.5
chrY-41500000,chr2-157250000,0.125
chr2-176500000,chr2-157500000,0.06666666666666667
chrY-28750000,chr2-157500000,0.5
chrY-250000,chr2-157750000,0.07142857142857142
chrY-29000000,chr2-157750000,0.25
chrY-39000000,chr2-157750000,0.1
chrY-42250000,chr2-158000000,0.07142857142857142
chrY-86750000,chr2-158000000,0.1
chrY-88250000,chr2-158000000,0.16666666666666666
chr14-42750000,chr2-158250000,0.1
chrX-148000000,chr2-158250000,0.16666666666666666
chrX-148500000,chr2-158250000,0.08333333333333333
chrY-29000000,chr2-158250000,0.25
chrY-40250000,chr2-158250000,0.25
chrY-41500000,chr2-158250000,0.125
chrY-83500000,chr2-158500000,1.0
chr3-113250000,chr2-158750000,0.25
chrY-38000000,chr2-158750000,0.25
chrY-90000000,chr2-158750000,0.25
chr4-122250000,chr2-159000000,0.1
chrY-38000000,chr2-159000000,0.25
chrY-39250000,chr2-159250000,0.16666666666666666
chrY-40500000,chr2-159250000,0.5
chrY-42000000,chr2-159250000,0.0625
chrY-42250000,chr2-159250000,0.07142857142857142
chr2-176500000,chr2-159500000,0.06666666666666667
chrY-38000000,chr2-159500000,0.25
chrY-43750000,chr2-159500000,0.16666666666666666
chrY-11750000,chr2-159750000,0.07142857142857142
chrY-29000000,chr2-160000000,0.25
chrY-250000,chr2-160250000,0.07142857142857142
chrY-35750000,chr2-160250000,0.5
chrY-47250000,chr2-160250000,1.0
chrY-77750000,chr2-160250000,0.5
chrY-88000000,chr2-160250000,0.125
chrX-148250000,chr2-160500000,1.0
chrY-83000000,chr2-160500000,0.25
chr2-176500000,chr2-160750000,0.06666666666666667
chrX-54500000,chr2-160750000,0.5
chrY-87250000,chr2-160750000,0.08333333333333333
chr4-122250000,chr2-161000000,0.1
chrY-14000000,chr2-161000000,1.0
chr7-7750000,chr2-161250000,0.125
chrY-32250000,chr2-161500000,0.3333333333333333
chr14-5250000,chr2-161750000,0.5
chrX-28500000,chr2-161750000,0.5
chrY-84500000,chr2-161750000,0.5
chr7-7750000,chr2-162000000,0.0625
chr14-7000000,chr2-162000000,0.05555555555555555
chrY-84500000,chr2-162000000,0.5
chrY-85750000,chr2-162000000,0.5
chr12-22250000,chr2-162250000,0.0625
chrX-28500000,chr2-162250000,0.5
chrY-88000000,chr2-162250000,0.125
chrY-89500000,chr2-162250000,0.08333333333333333
chr4-42500000,chr2-162500000,0.05
chr14-5000000,chr2-162500000,0.05
chrX-35000000,chr2-162500000,0.25
chrX-148500000,chr2-162500000,0.08333333333333333
chrY-79250000,chr2-162500000,1.0
chrY-35750000,chr2-162750000,0.5
chrY-38000000,chr2-162750000,0.25
chrY-88750000,chr2-162750000,0.5
chrY-38500000,chr2-163000000,1.0
chrY-41500000,chr2-163000000,0.125
chrY-57000000,chr2-163000000,1.0
chrX-123250000,chr2-163250000,0.058823529411764705
chrY-83250000,chr2-163250000,1.0
chrY-89750000,chr2-163250000,0.25
chr7-7750000,chr2-163500000,0.0625
chr14-5000000,chr2-163500000,0.05
chrY-43750000,chr2-163500000,0.16666666666666666
chrY-87750000,chr2-163500000,0.25
chrY-89750000,chr2-163500000,0.25
chrX-123250000,chr2-164000000,0.058823529411764705
chrY-24250000,chr2-164000000,1.0
chr2-164500000,chr2-164250000,0.05204059598358886
chr4-61000000,chr2-164250000,0.05
chrX-30250000,chr2-164250000,0.5
chrY-73250000,chr2-164250000,1.0
chr2-164250000,chr2-164500000,0.05323613872321626
chr12-22250000,chr2-164500000,0.0625
chrX-55000000,chr2-164500000,0.25
chrY-76750000,chr2-164500000,1.0
chrY-86750000,chr2-164500000,0.1
chr12-22250000,chr2-164750000,0.0625
chrY-28750000,chr2-164750000,0.5
chrY-40250000,chr2-164750000,0.25
chrY-43500000,chr2-164750000,0.05555555555555555
chrY-88750000,chr2-164750000,0.5
chr4-122250000,chr2-165000000,0.1
chrY-0,chr2-165000000,0.3333333333333333
chrY-38000000,chr2-165000000,0.25
chrY-72250000,chr2-165000000,1.0
chrY-88500000,chr2-165000000,0.25
chr7-20250000,chr2-165250000,0.5
chr7-22000000,chr2-165250000,1.0
chrX-4000000,chr2-165250000,0.06060606060606061
chrX-148000000,chr2-165250000,0.16666666666666666
chrY-29500000,chr2-165250000,1.0
chrY-69250000,chr2-165250000,0.5
chr7-22500000,chr2-165500000,0.5
chrY-86000000,chr2-165500000,0.5
chrX-31250000,chr2-165750000,0.05
chrY-83250000,chr2-165750000,1.0
chrY-88250000,chr2-165750000,0.16666666666666666
chr4-122250000,chr2-166250000,0.1
chr14-5000000,chr2-166250000,0.05
chrY-72500000,chr2-166250000,0.5
chrY-81000000,chr2-166250000,0.3333333333333333
chrY-88500000,chr2-166250000,0.25
chrY-90000000,chr2-166250000,0.125
chr2-166750000,chr2-166500000,0.06290710382513662
chrX-28250000,chr2-166500000,0.5
chr2-166500000,chr2-166750000,0.056687019893637974
chrY-21000000,chr2-166750000,0.5
chrY-44250000,chr2-166750000,0.1
chr4-61000000,chr2-167000000,0.05
chr7-8750000,chr2-167000000,0.05555555555555555
chrX-148500000,chr2-167000000,0.08333333333333333
chrY-43750000,chr2-167000000,0.16666666666666666
chrY-78750000,chr2-167000000,1.0
chrY-83500000,chr2-167000000,1.0
chr2-167000000,chr2-167250000,0.05117725455353177
chrY-29250000,chr2-167250000,0.25
chrY-38000000,chr2-167250000,0.25
chrY-43250000,chr2-167250000,0.05555555555555555
chrY-71750000,chr2-167250000,1.0
chr2-167750000,chr2-167500000,0.05522273425499232
chrY-70250000,chr2-167500000,1.0
chrY-81500000,chr2-167500000,0.5
chrY-88750000,chr2-167500000,0.5
chr2-167500000,chr2-167750000,0.061426740709098676
chr14-5000000,chr2-167750000,0.05
chrX-148500000,chr2-167750000,0.08333333333333333
chrY-85000000,chr2-167750000,0.5
chrY-29500000,chr2-168000000,1.0
chrY-39250000,chr2-168000000,0.16666666666666666
chrY-82500000,chr2-168000000,0.5
chr4-42500000,chr2-168250000,0.05
chrX-123250000,chr2-168250000,0.058823529411764705
chrY-40500000,chr2-168250000,0.5
chrY-86250000,chr2-168250000,0.5
chrY-87000000,chr2-168500000,0.16666666666666666
chrX-123250000,chr2-169000000,0.058823529411764705
chrY-54750000,chr2-169000000,1.0
chr7-7750000,chr2-169250000,0.0625
chrY-23000000,chr2-169250000,1.0
chrY-74500000,chr2-169250000,1.0
chrY-21000000,chr2-169500000,0.5
chrX-31250000,chr2-169750000,0.05
chr2-170250000,chr2-170000000,0.05210582010582011
chrX-123250000,chr2-170000000,0.058823529411764705
chrY-20750000,chr2-170000000,0.5
chrY-79250000,chr2-170000000,1.0
chrY-86250000,chr2-170000000,0.5
chr2-170000000,chr2-170250000,0.05184249315645399
chrY-39500000,chr2-170250000,0.125
chrY-54750000,chr2-170250000,1.0
chr3-113250000,chr2-170500000,0.25
chr4-122250000,chr2-170500000,0.1
chrX-148500000,chr2-170500000,0.16666666666666666
chrY-250000,chr2-170500000,0.07142857142857142
chrY-42250000,chr2-170500000,0.07142857142857142
chrY-85250000,chr2-170500000,0.5
chrY-87750000,chr2-170750000,0.25
chrX-3500000,chr2-171000000,0.25
chrX-31250000,chr2-171000000,0.05
chrY-3250000,chr2-171250000,0.5
chrY-11750000,chr2-171250000,0.07142857142857142
chrY-22500000,chr2-171250000,0.125
chrY-40500000,chr2-171250000,0.5
chrY-44500000,chr2-171250000,0.1
chr7-8750000,chr2-171500000,0.05555555555555555
chr12-22250000,chr2-171500000,0.0625
chrX-30250000,chr2-171500000,0.5
chr2-176750000,chr2-171750000,0.058823529411764705
chrY-22500000,chr2-171750000,0.125
chrY-72750000,chr2-171750000,1.0
chrY-42250000,chr2-172000000,0.07142857142857142
chrY-75500000,chr2-172000000,0.25
chr2-176500000,chr2-172250000,0.06666666666666667
chrY-8000000,chr2-172250000,0.25
chrY-15750000,chr2-172250000,0.5
chrY-39250000,chr2-172250000,0.16666666666666666
chrY-39500000,chr2-172250000,0.125
chrY-41500000,chr2-172250000,0.125
chrY-44000000,chr2-172250000,0.08333333333333333
chrY-40000000,chr2-172500000,0.0625
chrY-89750000,chr2-172500000,0.25
chr2-176500000,chr2-172750000,0.06666666666666667
chr2-176750000,chr2-172750000,0.07352941176470588
chr7-8750000,chr2-172750000,0.05555555555555555
chr2-176500000,chr2-173000000,0.06666666666666667
chr7-7750000,chr2-173000000,0.0625
chr7-20250000,chr2-173000000,0.5
chr14-3250000,chr2-173000000,0.3333333333333333
chrX-148000000,chr2-173000000,0.16666666666666666
chrY-42000000,chr2-173000000,0.0625
chrY-43500000,chr2-173000000,0.05555555555555555
chrY-87250000,chr2-173000000,0.08333333333333333
chr2-176750000,chr2-173250000,0.11764705882352941
chrY-37500000,chr2-173250000,0.5
chrY-88750000,chr2-173250000,0.5
chrY-33500000,chr2-173500000,1.0
chrY-38750000,chr2-173500000,0.25
chrY-44500000,chr2-173500000,0.1
chr2-176750000,chr2-173750000,0.07352941176470588
chrX-148500000,chr2-173750000,0.08333333333333333
chrY-20000000,chr2-173750000,0.25
chrY-90250000,chr2-173750000,0.5
chr2-176500000,chr2-174000000,0.1
chr14-42750000,chr2-174000000,0.1
chrY-34000000,chr2-174000000,1.0
chrY-59250000,chr2-174000000,1.0
chr2-176500000,chr2-174250000,0.06666666666666667
chr2-176750000,chr2-174250000,0.08823529411764705
chr7-22250000,chr2-174250000,0.5
chr7-22500000,chr2-174250000,0.5
chrY-8000000,chr2-174250000,0.25
chrY-29000000,chr2-174250000,0.25
chrY-38250000,chr2-174250000,0.5
chrY-87750000,chr2-174250000,0.25
chr2-176500000,chr2-174500000,0.1
chr2-176750000,chr2-174500000,0.11764705882352941
chrX-54750000,chr2-174500000,0.5
chrY-42000000,chr2-174500000,0.0625
chrY-87250000,chr2-174500000,0.08333333333333333
chrY-88000000,chr2-174500000,0.125
chrY-89750000,chr2-174500000,0.25
chr2-176500000,chr2-174750000,0.13333333333333333
chrX-149500000,chr2-174750000,0.05555555555555555
chrY-11750000,chr2-174750000,0.07142857142857142
chrY-73500000,chr2-174750000,1.0
chrY-80250000,chr2-174750000,1.0
chr2-176750000,chr2-175000000,0.07352941176470588
chr2-176500000,chr2-176750000,0.06666666666666667
chr2-176500000,chr2-177000000,0.06666666666666667
chr2-176750000,chr2-178000000,0.08823529411764705
chr2-177250000,chr2-178000000,0.05250965250965251
chr2-177750000,chr2-178000000,0.08912655971479501
chr7-7750000,chr2-178000000,0.0625
chrX-29750000,chr2-178000000,0.25
chrY-90000000,chr2-178000000,0.125
chr2-176750000,chr2-178250000,0.10294117647058823
chr2-177750000,chr2-178250000,0.058823529411764705
chrX-31250000,chr2-178250000,0.05
chrX-55000000,chr2-178250000,0.25
chrX-148000000,chr2-178250000,0.3333333333333333
chr2-176500000,chr2-178500000,0.06666666666666667
chr2-176750000,chr2-178500000,0.07352941176470588
chr2-177750000,chr2-178500000,0.053475935828877004
chrX-148500000,chr2-178500000,0.08333333333333333
chrY-29000000,chr2-178500000,0.25
chrY-39500000,chr2-178500000,0.125
chrY-82000000,chr2-178500000,0.5
chrY-83250000,chr2-178500000,1.0
chrX-31250000,chr2-178750000,0.05
chrX-148000000,chr2-178750000,0.16666666666666666
chrY-20750000,chr2-178750000,0.5
chrY-76000000,chr2-178750000,0.5
chr2-176500000,chr2-179000000,0.06666666666666667
chr2-176750000,chr2-179000000,0.07352941176470588
chr14-3250000,chr2-179000000,0.3333333333333333
chrY-20250000,chr2-179000000,0.08333333333333333
chrY-43750000,chr2-179000000,0.16666666666666666
chr2-176500000,chr2-179250000,0.1
chrX-148000000,chr2-179250000,0.16666666666666666
chrY-250000,chr2-179250000,0.07142857142857142
chrY-80250000,chr2-179250000,1.0
chr7-22500000,chr2-179500000,0.5
chrY-89750000,chr2-179500000,0.25
chr2-176500000,chr2-179750000,0.06666666666666667
chr12-22250000,chr2-179750000,0.0625
chr14-3750000,chr2-179750000,0.07142857142857142
chrY-37500000,chr2-179750000,0.5
chrY-43500000,chr2-179750000,0.05555555555555555
chr2-176750000,chr2-180250000,0.058823529411764705
chrX-28750000,chr2-180250000,0.5
chrX-148500000,chr2-180250000,0.08333333333333333
chrY-3250000,chr2-180250000,0.5
chr2-176500000,chr2-180500000,0.06666666666666667
chrX-30250000,chr2-180500000,0.5
chrX-148500000,chr2-180500000,0.08333333333333333
chrY-22250000,chr2-180500000,1.0
chrY-29250000,chr2-180500000,0.25
chrY-43000000,chr2-180500000,0.5
chr2-176500000,chr2-180750000,0.06666666666666667
chrY-29000000,chr2-180750000,0.25
chrY-35500000,chr2-180750000,1.0
chr2-176500000,chr2-181000000,0.06666666666666667
chrX-31250000,chr2-181000000,0.05
chrY-20000000,chr2-181000000,0.25
chrY-39500000,chr2-181000000,0.125
chrY-42500000,chr2-181000000,0.25
chrY-68000000,chr2-181000000,0.5
chrX-125750000,chr2-181250000,0.3333333333333333
chrY-20250000,chr2-181250000,0.08333333333333333
chrY-37250000,chr2-181250000,0.3333333333333333
chr2-182000000,chr2-181500000,0.06302521008403361
chr14-5000000,chr2-181500000,0.05
chrY-38750000,chr2-181500000,0.25
chr2-182000000,chr2-181750000,0.10644257703081232
chr14-5000000,chr2-181750000,0.05
chrX-28000000,chr2-181750000,0.5
chrY-250000,chr2-181750000,0.07142857142857142
chrY-35000000,chr2-181750000,0.5
chrY-43250000,chr2-181750000,0.05555555555555555
chr14-3750000,chr3-3000000,0.07142857142857142
chr4-42500000,chr3-3250000,0.05
chrY-42250000,chr3-3250000,0.07142857142857142
chr7-8000000,chr3-3500000,0.09090909090909091
chrX-54500000,chr3-3500000,0.5
chrY-58250000,chr3-3500000,1.0
chrX-55000000,chr3-3750000,0.25
chrY-40000000,chr3-3750000,0.0625
chrY-89500000,chr3-3750000,0.08333333333333333
chrX-31250000,chr3-4000000,0.05
chrY-70500000,chr3-4000000,1.0
chrY-80000000,chr3-4250000,1.0
chrY-42250000,chr3-4500000,0.14285714285714285
chrX-31250000,chr3-5000000,0.05
chrY-42250000,chr3-5000000,0.07142857142857142
chrY-87750000,chr3-5000000,0.25
chrY-44500000,chr3-5250000,0.1
chrY-75250000,chr3-5750000,1.0
chrY-85750000,chr3-5750000,0.5
chrY-89250000,chr3-5750000,0.125
chrY-31750000,chr3-6000000,0.5
chrY-37250000,chr3-6000000,0.3333333333333333
chrY-86000000,chr3-6000000,0.5
chr12-22250000,chr3-6250000,0.0625
chrY-40500000,chr3-6500000,0.5
chrY-84250000,chr3-6500000,0.25
chr14-5000000,chr3-6750000,0.05
chrY-89250000,chr3-6750000,0.25
chr14-3750000,chr3-7000000,0.07142857142857142
chrY-20750000,chr3-7000000,0.5
chrY-39250000,chr3-7000000,0.16666666666666666
chrY-89250000,chr3-7250000,0.125
chr14-3750000,chr3-7500000,0.07142857142857142
chrX-30750000,chr3-7500000,0.5
chrY-35750000,chr3-7500000,0.5
chrY-86250000,chr3-7500000,0.5
chrY-89500000,chr3-7500000,0.08333333333333333
chr7-22500000,chr3-7750000,0.5
chr14-3250000,chr3-8000000,0.3333333333333333
chrX-123250000,chr3-8000000,0.058823529411764705
chrY-29000000,chr3-8250000,0.25
chrY-41500000,chr3-8250000,0.125
chrY-89000000,chr3-8250000,0.5
chr12-22250000,chr3-8500000,0.0625
chrX-123250000,chr3-8500000,0.058823529411764705
chrY-13250000,chr3-8500000,0.5
chrY-20250000,chr3-8500000,0.08333333333333333
chrY-90000000,chr3-8500000,0.125
chr3-113250000,chr3-8750000,0.25
chr12-22250000,chr3-8750000,0.0625
chrY-35000000,chr3-8750000,0.5
chrY-35500000,chr3-8750000,1.0
chrY-42250000,chr3-8750000,0.07142857142857142
chrY-85500000,chr3-9000000,1.0
chrY-87250000,chr3-9000000,0.08333333333333333
chrY-22750000,chr3-9250000,1.0
chr4-61000000,chr3-9750000,0.05
chrX-3500000,chr3-9750000,0.25
chrX-149250000,chr3-9750000,0.5
chrY-40250000,chr3-9750000,0.25
chrY-43500000,chr3-9750000,0.05555555555555555
chrY-74250000,chr3-9750000,1.0
chrY-41500000,chr3-10000000,0.125
chrY-88250000,chr3-10000000,0.16666666666666666
chr4-42500000,chr3-10250000,0.1
chr7-22500000,chr3-10250000,0.5
chr14-3750000,chr3-10250000,0.07142857142857142
chrX-54750000,chr3-10250000,0.5
chrY-32000000,chr3-10250000,1.0
chrY-41750000,chr3-10250000,0.25
chrY-36250000,chr3-10500000,1.0
chrY-73500000,chr3-10500000,1.0
chrY-86500000,chr3-10500000,0.25
chr4-61000000,chr3-10750000,0.05
chrY-28750000,chr3-10750000,0.5
chrY-42500000,chr3-10750000,0.25
chrX-28750000,chr3-11000000,0.5
chrY-42250000,chr3-11000000,0.07142857142857142
chrY-71000000,chr3-11000000,1.0
chrX-28750000,chr3-11250000,0.5
chrY-35750000,chr3-11250000,0.5
chr7-7750000,chr3-11500000,0.0625
chrY-57750000,chr3-11500000,0.5
chr7-22250000,chr3-11750000,0.5
chrY-43750000,chr3-11750000,0.16666666666666666
chrY-90000000,chr3-12000000,0.125
chrY-29000000,chr3-12250000,0.25
chrY-43500000,chr3-12250000,0.05555555555555555
chr14-42750000,chr3-12750000,0.1
chrY-67750000,chr3-12750000,1.0
chrX-148000000,chr3-13000000,0.16666666666666666
chrY-34250000,chr3-13000000,1.0
chrY-43500000,chr3-13000000,0.05555555555555555
chrX-30750000,chr3-13250000,0.5
chrY-33000000,chr3-13250000,1.0
chrY-59500000,chr3-13500000,1.0
chrY-87000000,chr3-13500000,0.16666666666666666
chrX-123250000,chr3-13750000,0.058823529411764705
chrY-42250000,chr3-13750000,0.07142857142857142
chrY-60000000,chr3-13750000,1.0
chrY-84000000,chr3-13750000,0.5
chrY-39250000,chr3-14000000,0.16666666666666666
chrY-84750000,chr3-14250000,0.5
chrY-89500000,chr3-14250000,0.08333333333333333
chrY-22500000,chr3-14500000,0.125
chrY-43500000,chr3-14500000,0.05555555555555555
chrY-44500000,chr3-14500000,0.1
chrY-89500000,chr3-14500000,0.08333333333333333
chr7-7750000,chr3-14750000,0.0625
chr14-3750000,chr3-14750000,0.07142857142857142
chrY-38250000,chr3-14750000,0.5
chr14-3750000,chr3-15000000,0.07142857142857142
chrX-123250000,chr3-15250000,0.058823529411764705
chr7-20250000,chr3-16250000,0.5
chrY-87500000,chr3-16750000,0.16666666666666666
chrY-250000,chr3-17250000,0.07142857142857142
chrY-20750000,chr3-17250000,0.5
chr12-22250000,chr3-17500000,0.0625
chrY-38500000,chr3-17500000,1.0
chrY-35000000,chr3-17750000,0.5
chrY-47250000,chr3-18000000,1.0
chrY-84000000,chr3-18000000,0.5
chrX-29750000,chr3-18250000,0.25
chr4-61000000,chr3-18500000,0.05
chrX-149000000,chr3-18500000,0.25
chrX-54750000,chr3-18750000,0.5
chrX-55000000,chr3-18750000,0.25
chrY-84000000,chr3-18750000,0.5
chrY-86750000,chr3-18750000,0.1
chr4-122250000,chr3-19000000,0.1
chr12-22250000,chr3-19000000,0.0625
chrX-31250000,chr3-19000000,0.05
chrY-0,chr3-19000000,0.3333333333333333
chrY-36000000,chr3-19000000,0.5
chrY-88000000,chr3-19250000,0.125
chrY-90000000,chr3-19250000,0.125
chrX-55000000,chr3-19500000,0.25
chrY-68750000,chr3-19500000,1.0
chrX-28750000,chr3-19750000,0.5
chrX-54500000,chr3-19750000,0.5
chrY-43500000,chr3-19750000,0.05555555555555555
chr4-122250000,chr3-20000000,0.1
chr14-5000000,chr3-20000000,0.05
chrY-44250000,chr3-20000000,0.1
chrY-75750000,chr3-20000000,1.0
chrX-55000000,chr3-20250000,0.5
chrX-148500000,chr3-20250000,0.08333333333333333
chr4-42500000,chr3-20500000,0.05
chr14-42750000,chr3-20500000,0.1
chrX-54500000,chr3-20500000,0.5
chrY-76000000,chr3-20500000,0.5
chr3-113250000,chr3-20750000,0.25
chr7-8750000,chr3-20750000,0.05555555555555555
chrY-14000000,chr3-20750000,1.0
chrY-90000000,chr3-20750000,0.125
chrY-87500000,chr3-21250000,0.16666666666666666
chrY-90000000,chr3-21250000,0.125
chr4-42500000,chr3-21500000,0.05
chrY-38000000,chr3-21500000,0.25
chrY-83750000,chr3-21500000,0.5
chrY-89750000,chr3-21500000,0.25
chr7-22250000,chr3-22000000,0.5
chrY-39750000,chr3-22000000,0.25
chrY-43250000,chr3-22000000,0.05555555555555555
chrY-43500000,chr3-22000000,0.05555555555555555
chrY-44500000,chr3-22000000,0.1
chr7-8750000,chr3-22250000,0.05555555555555555
chrY-81250000,chr3-22250000,1.0
chr7-22250000,chr3-22500000,0.5
chrY-21250000,chr3-22500000,0.5
chr4-61000000,chr3-22750000,0.05
chr4-122250000,chr3-22750000,0.1
chrY-24750000,chr3-23000000,0.5
chrY-36250000,chr3-23000000,1.0
chrY-89750000,chr3-23000000,0.25
chrY-34500000,chr3-23500000,0.5
chrY-77250000,chr3-23500000,1.0
chrY-87500000,chr3-23500000,0.16666666666666666
chrY-39250000,chr3-24250000,0.16666666666666666
chr12-22250000,chr3-24500000,0.0625
chrX-148500000,chr3-24500000,0.08333333333333333
chrY-8000000,chr3-24500000,0.25
chrY-40000000,chr3-24500000,0.0625
chrY-72750000,chr3-24500000,1.0
chr7-8750000,chr3-24750000,0.05555555555555555
chrX-25000000,chr3-24750000,1.0
chrX-123250000,chr3-24750000,0.058823529411764705
chrY-44500000,chr3-24750000,0.1
chr7-22500000,chr3-25000000,0.5
chrX-3500000,chr3-25000000,0.25
chr14-3750000,chr3-25250000,0.07142857142857142
chrY-22500000,chr3-25250000,0.125
chrY-43250000,chr3-25250000,0.05555555555555555
chrY-70750000,chr3-25250000,1.0
chrX-3500000,chr3-25500000,0.25
chr4-122250000,chr3-25750000,0.1
chrY-44250000,chr3-25750000,0.1
chrY-58500000,chr3-25750000,1.0
chrY-86500000,chr3-26000000,0.25
chrY-14000000,chr3-26250000,1.0
chrY-34500000,chr3-26500000,0.5
chrY-42250000,chr3-26500000,0.07142857142857142
chrY-84750000,chr3-26500000,0.5
chrY-87750000,chr3-26500000,0.25
chrX-31250000,chr3-26750000,0.05
chrY-29250000,chr3-26750000,0.25
chrY-43500000,chr3-26750000,0.05555555555555555
chr4-61000000,chr3-27000000,0.05
chr14-6500000,chr3-27000000,0.05263157894736842
chr4-42500000,chr3-27250000,0.05
chrY-8000000,chr3-27250000,0.25
chrY-88500000,chr3-27250000,0.25
chr7-20250000,chr3-27500000,0.5
chrY-84000000,chr3-27500000,0.5
chrY-89000000,chr3-27500000,0.5
chr7-20500000,chr3-27750000,0.25
chr7-22500000,chr3-27750000,0.5
chr14-5000000,chr3-27750000,0.05
chrX-149000000,chr3-27750000,0.25
chrY-28500000,chr3-27750000,0.5
chrY-42250000,chr3-27750000,0.07142857142857142
chrY-44750000,chr3-27750000,1.0
chrY-53500000,chr3-27750000,1.0
chr14-3750000,chr3-28000000,0.07142857142857142
chrX-29750000,chr3-28250000,0.25
chrX-148500000,chr3-28250000,0.08333333333333333
chrY-8000000,chr3-28250000,0.25
chrY-23500000,chr3-28250000,0.5
chr14-6500000,chr3-28500000,0.05263157894736842
chrY-44750000,chr3-28500000,1.0
chrY-36750000,chr3-28750000,1.0
chrY-44500000,chr3-28750000,0.1
chr14-42750000,chr3-29000000,0.1
chr4-42500000,chr3-29250000,0.05
chr4-122250000,chr3-29250000,0.1
chrY-44250000,chr3-29250000,0.1
chrX-31250000,chr3-29500000,0.05
chrX-148500000,chr3-29750000,0.08333333333333333
chrY-42500000,chr3-29750000,0.5
chr14-7000000,chr3-30000000,0.08333333333333333
chrY-42000000,chr3-30000000,0.0625
chr7-7750000,chr3-30250000,0.0625
chrY-73750000,chr3-30250000,1.0
chr14-3750000,chr3-30500000,0.07142857142857142
chrY-28750000,chr3-30500000,0.5
chrX-123250000,chr3-30750000,0.058823529411764705
chr14-4500000,chr3-31000000,0.05555555555555555
chrY-32250000,chr3-31000000,0.3333333333333333
chrY-42250000,chr3-31000000,0.07142857142857142
chrY-81000000,chr3-31000000,0.3333333333333333
chr12-22250000,chr3-31250000,0.0625
chrY-44500000,chr3-31250000,0.1
chrY-44500000,chr3-31500000,0.1
chrX-54500000,chr3-31750000,0.5
chrY-86500000,chr3-31750000,0.25
chr7-7750000,chr3-32000000,0.0625
chrY-69000000,chr3-32000000,1.0
chr7-22250000,chr3-32250000,0.5
chrX-32750000,chr3-32250000,0.058823529411764705
chrY-15000000,chr3-32250000,1.0
chrY-21750000,chr3-32250000,1.0
chrY-28500000,chr3-32250000,0.5
chrY-41750000,chr3-32250000,0.25
chrY-60000000,chr3-32250000,1.0
chr14-5000000,chr3-32750000,0.05
chrX-3500000,chr3-32750000,0.25
chrX-32750000,chr3-32750000,0.058823529411764705
chrY-8750000,chr3-32750000,0.06666666666666667
chr14-42750000,chr3-33000000,0.1
chrY-38000000,chr3-33000000,0.25
chrY-40250000,chr3-33000000,0.25
chrX-55000000,chr3-33250000,0.25
chrY-36500000,chr3-33500000,1.0
chrX-31250000,chr3-33750000,0.05
chrX-54750000,chr3-33750000,0.5
chrY-34750000,chr3-34250000,0.5
chrY-41750000,chr3-34250000,0.25
chr4-61000000,chr3-34500000,0.05
chrX-123250000,chr3-34500000,0.058823529411764705
chrY-40750000,chr3-34500000,0.125
chrY-41750000,chr3-34500000,0.25
chrY-88750000,chr3-34500000,0.5
chr7-7750000,chr3-34750000,0.0625
chrX-3500000,chr3-34750000,0.25
chrX-35000000,chr3-34750000,0.25
chrY-76000000,chr3-35000000,0.5
chrY-87250000,chr3-35000000,0.08333333333333333
chr12-22250000,chr3-35250000,0.0625
chrX-3500000,chr3-35250000,0.25
chrY-33000000,chr3-35250000,1.0
chrY-39750000,chr3-35250000,0.5
chrY-87000000,chr3-35250000,0.16666666666666666
chr14-42750000,chr3-35500000,0.1
chrY-83500000,chr3-35500000,1.0
chrY-38500000,chr3-35750000,1.0
